id,predicted_price
2591820310,378321.8
7974200820,922766.2
7701450110,1086852.9
9522300010,2141135.5
9510861140,688836.75
1761300310,251856.02
7732410120,819101.94
7010701383,621318.0
291310170,485792.6
4232901990,574671.06
6840701125,656132.2
3971700580,386399.0
4202400078,253451.31
6064800090,351329.0
2626119028,327227.78
3303980660,1146389.0
862000020,796370.56
2386000070,938875.25
1138000450,412172.53
1775800420,469013.62
2291401425,483078.9
2025770560,1185628.4
3525069037,711403.06
9324800450,602870.94
8080400136,583600.7
8651540040,524218.16
9407001790,285310.44
1773101530,268859.75
9432900250,336049.1
1794500695,607801.5
2220069003,324192.78
923000120,451559.4
5728000060,589410.0
16000200,237004.86
1926059094,398181.8
6672900220,944666.06
3629860060,860659.1
1822069109,448550.88
6675500105,360549.25
249000180,1801365.1
226059065,477743.62
396100110,252232.48
9264450460,303109.3
7853361210,369633.1
9474700020,288528.2
421000455,242089.88
3755200220,422494.88
7960100075,484694.1
9477100490,402311.38
9138100350,742129.6
1624049275,502866.72
2770606890,543797.0
1157200189,429948.56
2770601800,546058.56
9301300805,547226.9
2325069032,1067588.5
1021079099,368420.2
7215730040,799960.25
1853200080,422941.3
3224600340,723127.44
3222049120,390722.72
2113700025,295021.94
7893207925,218661.06
3586501085,608212.94
8024200010,394224.8
7116500705,189076.84
1598600209,255099.27
7204200025,951862.06
4206901505,526298.56
2937300440,925509.6
7205000180,367256.8
8718500665,367350.44
5318101765,882140.9
4122700020,981198.6
8078700020,527087.75
3303980680,965048.8
8924100372,1166976.8
2781270210,240449.6
519000043,613468.1
3225069301,1494457.2
151000075,742364.9
2297400020,435600.75
6617500085,659308.44
104510180,246939.28
3528900060,956350.94
3345100286,584627.94
1226039130,424993.38
8712100720,782253.44
3037200010,388519.53
3626039268,424328.72
104510230,249687.45
5112800060,405897.84
6072400280,638672.25
5317100570,956519.6
9528102993,557020.8
2919201095,515516.75
6181400920,244844.55
185000161,273562.53
8691400010,748312.75
3345700165,597356.25
6151800486,233359.58
4340000080,1232094.2
4136960010,586953.56
3634100030,336924.84
1624059224,1036858.6
2788400090,287467.4
9828200762,464998.97
7524400250,436072.12
3528000290,724419.8
5700003630,2327129.2
2720069019,311381.72
7227501170,240895.48
2397101270,681880.4
6792100090,725854.75
2770602265,553315.94
3971700937,303309.72
422049203,232389.92
3076500830,305063.5
1423400260,294198.38
9161100795,434915.72
3126049052,487210.8
5100401468,453766.84
514500235,464615.12
1423200170,184110.8
1402100070,436345.4
624110020,774645.4
2407000145,207452.02
1890000225,862265.7
1320069271,326251.97
5490700085,374468.53
263000155,488189.8
3726800201,476483.44
5153200358,290068.16
2725079018,809335.8
7165700200,250736.44
9429000170,567907.7
8718500075,394712.28
